,时间,弹幕
213,2023-11-14 14:18:45,为日后埋下祸根（不是）
214,2023-11-14 14:17:35,你是懂shy哥的
215,2023-11-14 14:14:22,高超了(确信
216,2023-11-14 14:03:50,总算明白那波huanfeng为啥不向前冲了 原来是想报仇
217,2023-11-14 13:29:06,我也觉得晴天可以，看过他写的日志
218,2023-11-14 13:13:29,当年没想到仁川那么大，五年了还没走出来
219,2023-11-14 13:08:38,好细节的咳血Q，回的更多
220,2023-11-14 12:58:49,shy sei sei!!
221,2023-11-14 12:51:54,这波这个大黄啊，你去扛那个踏干啥
222,2023-11-14 12:36:06,圣经
223,2023-11-14 12:20:44,elk
224,2023-11-14 12:18:57,名场面预警
225,2023-11-14 12:16:45,482个uu们，你们好
226,2023-11-14 12:12:53,最吊的是他不是庆幸跑掉了，他还想追着人反杀
227,2023-11-14 12:11:31,离谱。。
228,2023-11-14 12:09:33,smlz:啊？？？
229,2023-11-14 12:07:05,太夸张了这波确实值得这个反应
230,2023-11-14 11:53:02,这里的吸血鬼是落后很多的
231,2023-11-14 11:39:34,太强了
232,2023-11-14 11:19:51,焕峰是不是被奥恩单杀了没脸后面才那么坑TheShy哦
233,2023-11-14 11:06:01,那时候泡芙南风看得真的很着急
234,2023-11-14 11:04:34,还我直接下机走人
235,2023-11-14 11:02:10,经典咏流传
236,2023-11-14 11:01:58,S8总决赛
237,2023-11-14 10:56:07,S8半决赛
238,2023-11-14 10:55:49,我总觉得晴天能成大事
239,2023-11-14 10:54:14,上单叫父
240,2023-11-14 10:52:46,哈哈哈疯了
241,2023-11-14 10:51:17,还差个22格温没剪出来
242,2023-11-14 10:50:06,因为总是打的对面叫父
243,2023-11-14 10:47:42,BGM好烦人
244,2023-11-14 10:43:37,鳄鱼其实还是Marin猛
245,2023-11-14 10:41:42,现在排位里见不到一把吸血鬼
246,2023-11-14 10:37:40,shy哥的吸血鬼真猛
247,2023-11-14 10:30:26,谁拿这个人头！？
248,2023-11-14 10:26:29,劳姿训练赛一枪一个，正式赛上去三分钟我不知道我是谁
249,2023-11-14 10:16:27,这走位，脚本似的，真牛逼
250,2023-11-14 10:05:36,欧城被打到泉水回城
251,2023-11-14 10:04:30,这是上单 能抗能打
252,2023-11-14 10:02:02,全文背诵
253,2023-11-14 09:56:17,香锅哭了
254,2023-11-14 09:52:37,老九纯中立
255,2023-11-14 09:09:51,想拖时间这个有点经典
256,2023-11-14 09:04:34,这个冬天 不能穿李宁  因为不防韩
257,2023-11-14 08:59:50,经典画面，葫芦娃救爷爷
258,2023-11-14 08:51:55,SHY哥就是单杀风轻云淡，被杀被抓笑嘻嘻
259,2023-11-14 08:48:07,忠立粉
260,2023-11-14 06:37:44,奥恩职业赛场单杀鳄鱼谁敢想啊
261,2023-11-14 04:58:45,这波个人感觉最强的就是那不到一秒钟时间的决策，真的太恐怖了，
262,2023-11-14 04:03:47,G2
263,2023-11-14 04:02:28,九哥是真爱粉啊
264,2023-11-14 03:59:32,G2
265,2023-11-14 03:55:06,这是IG
266,2023-11-14 03:43:29,没A小兵，100血波比A了60
267,2023-11-14 03:32:51,18年居然都是5年前了
268,2023-11-14 01:58:30,A小兵升6
269,2023-11-14 01:11:54,这脸太韩国了
270,2023-11-14 00:58:47,是人是鬼都在秀，只有阿水在挨揍
271,2023-11-14 00:47:18,A小兵为了升六级
272,2023-11-14 00:12:27,金身前还偷A了一下 真的恐怖
273,2023-11-14 00:07:50,shy的鳄鱼VS其他人的鳄鱼
274,2023-11-13 23:41:45,什么叫质检员？那是天花板好吗
275,2023-11-13 23:36:06,这是铁血js了
276,2023-11-13 23:21:34,贝利亚
277,2023-11-13 23:17:46,牛牛二连失误了呀
278,2023-11-13 23:05:00,以下内容全文背诵
279,2023-11-13 23:02:38,"他操作的时候永远云淡风轻,让人感觉这还不是他的极限"
280,2023-11-13 22:57:39,巅峰TS就是上路的神
281,2023-11-13 22:57:02,369学会了吗？
282,2023-11-13 22:55:39,波比a小兵了
283,2023-11-13 22:54:30,"shy:light喜欢我,我一直知道的"
284,2023-11-13 22:54:30,←开玩笑，质检员。任何上单都比不上他，只是在追逐他的步伐罢了
285,2023-11-13 22:54:16,劳资训练赛一枪一个！
286,2023-11-13 22:52:22,他可是曾经的韩服第一豹女啊
287,2023-11-13 22:47:09,美如画
288,2023-11-13 22:14:00,这波牛头大功
289,2023-11-13 22:13:12,从此时开始，峡谷里就没有怂的剑魔
290,2023-11-13 22:07:54,这里细节A了2个迅捷步伐
291,2023-11-13 22:05:28,巅峰TS就是上单质检员
292,2023-11-13 21:59:12,其实这一年感觉他更猛，队友不当人
293,2023-11-13 21:55:59,顺手还补了俩兵
294,2023-11-13 21:35:34,释怀的笑了
295,2023-11-13 21:28:35,记得那时候剑魔刚重做，打出这种操作真的震惊我
296,2023-11-13 21:25:47,-*+6
297,2023-11-13 21:23:30,万军从取敌将首级
298,2023-11-13 21:20:00,好怀念以前TS的吸血鬼
299,2023-11-13 20:58:27,这位真的抽象，，
300,2023-11-13 20:53:40,一人杀一个
301,2023-11-13 20:39:23,全文背诵
302,2023-11-13 20:15:56,theshy是司马拉贼那会儿的老选手了，啊，转眼就是一个十年啊
303,2023-11-13 20:11:28,指定背景板g2
304,2023-11-13 20:08:54,晴天 大将军
